cut_idx,fPhase,canon_tt,cut_delay
1,0,2004318071, 17.670000
1,1,286331153, 18.620001
2,0,2004318071, 17.670000
2,1,286331153, 18.620001
3,0,1717986918, 35.639999
3,1,1717986918, 35.900002
4,0,2004318071, 17.670000
4,1,286331153, 18.620001
5,0,522133279, 21.020000
5,1,117901063, 21.030001
6,0,522133279, 21.020000
6,1,117901063, 21.030001
7,0,2004318071, 17.670000
7,1,286331153, 24.280001
8,0,2004318071, 27.879999
8,1,286331153, 18.620001
9,0,2004318071, 17.670000
9,1,286331153, 24.280001
10,0,1717986918, 35.900002
10,1,1717986918, 35.639999
11,0,2004318071, 17.670000
11,1,286331153, 18.620001
12,0,522133279, 25.350000
12,1,117901063, 21.030001
13,0,522133279, 21.020000
13,1,117901063, 26.590000
14,0,2004318071, 27.879999
14,1,286331153, 18.620001
15,0,1465341783, 25.350000
15,1,353703189, 21.030001
16,0,1869573999, -1.000000
16,1,101058054, -1.000000
17,0,2139062143, 21.379999
17,1,16843009, 22.879999
18,0,259985279, -1.000000
18,1,17760527, -1.000000
19,0,259985279, -1.000000
19,1,17760527, -1.000000
20,0,2004842367, 24.190001
20,1,17891601, 35.830002
21,0,2145353695, -1.000000
21,1,17039620, -1.000000
22,0,1600094207, -1.000000
22,1,66821, -1.000000
23,0,1600094207, -1.000000
23,1,66821, -1.000000
24,0,2004318071, 17.670000
24,1,286331153, 24.280001
25,0,2139062143, 21.379999
25,1,16843009, 26.600000
26,0,1869573999, -1.000000
26,1,101058054, -1.000000
27,0,522133279, 21.020000
27,1,117901063, 21.030001
28,0,536813567, 24.190001
28,1,458759, 35.830002
29,0,536813567, 24.190001
29,1,458759, 26.000000
30,0,536813567, 24.190001
30,1,458759, 26.000000
31,0,936196045, -1.000000
31,1,323752780, -1.000000
32,0,87556095, 28.690001
32,1,4959, 29.040001
33,0,87556095, 36.279999
33,1,4959, 29.040001
34,0,1717986918, 35.900002
34,1,1717986918, 35.639999
35,0,2004318071, 17.670000
35,1,286331153, 18.620001
36,0,505290270, -1.000000
36,1,505290270, -1.000000
37,0,1768515945, -1.000000
37,1,1768515945, -1.000000
38,0,1448498774, -1.000000
38,1,1448498774, -1.000000
39,0,522133279, 25.350000
39,1,117901063, 21.030001
40,0,522133279, 21.020000
40,1,117901063, 26.590000
41,0,919156425, -1.000000
41,1,919156425, -1.000000
42,0,287183134, -1.000000
42,1,518921966, -1.000000
43,0,385226486, -1.000000
43,1,112592566, -1.000000
44,0,385226486, -1.000000
44,1,112592566, -1.000000
45,0,134154239, -1.000000
45,1,2031647, -1.000000
46,0,252776209, -1.000000
46,1,259460983, -1.000000
47,0,33489407, 25.920000
47,1,8323199, 25.270000
48,0,117376767, -1.000000
48,1,7274607, -1.000000
49,0,116786934, -1.000000
49,1,116786934, -1.000000
50,0,117376767, -1.000000
50,1,7274607, -1.000000
51,0,33489407, 25.920000
51,1,8323199, 25.270000
52,0,364844479, -1.000000
52,1,27984299, -1.000000
53,0,369038847, -1.000000
53,1,5701719, -1.000000
54,0,325891052, -1.000000
54,1,323785708, -1.000000
55,0,325891052, -1.000000
55,1,323785708, -1.000000
56,0,323813375, -1.000000
56,1,14285, -1.000000
57,0,17103870, -1.000000
57,1,17103870, -1.000000
58,0,17091895, -1.000000
58,1,323805055, -1.000000
59,0,17104895, -1.000000
59,1,32735, -1.000000
60,0,524287, -1.000000
60,1,8191, -1.000000
61,0,17952767, -1.000000
61,1,126703, -1.000000
62,0,252776721, -1.000000
62,1,259487607, -1.000000
63,0,17956863, -1.000000
