cut1_idx,cut2_idx
34,7
34,13
142,75
75,9
75,74
142,88
88,85
88,86
142,92
92,75
92,85
92,86
287,216
287,232
232,229
232,230
287,258
258,216
258,232
425,357
357,230
357,344
344,86
344,201
344,229
425,378
574,501
501,374
501,488
488,230
488,344
488,373
574,521
574,525
525,374
525,488
525,521
719,652
719,666
719,695
857,790
857,809
1007,940
1007,954
1007,978
978,940
978,954
1145,1079
1079,940
1079,949
1079,950
1145,1098
1295,1222
1295,1240
1240,1237
1240,1238
1295,1267
1267,1222
1267,1237
1267,1238
1439,1365
1365,1238
1365,1351
1351,1222
1351,1237
1439,1385
1439,1410
1410,1365
1410,1385
1596,1382
1596,1497
1596,1530
1596,1556
1556,1382
1556,1497
1556,1530
1726,1653
1653,1526
1653,1640
1640,1382
1640,1497
1640,1525
1726,1672
1672,1669
1672,1670
1726,1693
1693,1509
1509,1382
1509,1497
1693,1525
1693,1526
1693,1669
1693,1670
1870,1797
1797,1670
1797,1784
1784,1526
1784,1640
1784,1669
1870,1816
1816,1813
1816,1814
1870,1820
1820,1797
1820,1813
1820,1814
2015,1941
1941,1814
1941,1933
2015,1960
1960,1957
1960,1958
2015,1986
1986,1941
1986,1960
2158,2085
2085,1958
2085,2072
2072,1814
2072,1933
2072,1957
2158,2104
2104,2101
2104,2102
2158,2109
2109,1958
2109,2072
2109,2104
2303,2229
2229,2102
2229,2216
2216,1958
2216,2072
2216,2101
2303,2249
2303,2274
2274,2229
2274,2249
2461,2373
2373,2246
2373,2361
2461,2389
2461,2390
2461,2396
2396,2373
2396,2389
2396,2390
2585,2517
2517,2390
2517,2509
2585,2535
2734,2661
2661,2534
2661,2648
2648,2390
2648,2509
2648,2533
2734,2680
2680,2677
2680,2678
2734,2684
2684,2661
2684,2677
2684,2678
2878,2805
2805,2678
2805,2792
2792,2534
2792,2648
2792,2677
2878,2824
2824,2821
2824,2822
2878,2827
2827,2805
2827,2824
3017,2949
2949,2822
2949,2936
2936,2678
2936,2792
2936,2821
3017,2969
3167,3093
3093,2966
3093,3080
3080,2822
3080,2936
3080,2965
3167,3113
3167,3138
3138,3093
3138,3113
3305,3237
3237,3110
3237,3225
3305,3257
3449,3381
3381,3254
3381,3373
3449,3401
3599,3525
3525,3398
3525,3512
3512,3254
3512,3373
3512,3397
3599,3544
3544,3541
3544,3542
3599,3579
3579,3398
3579,3512
3579,3541
3579,3542
3737,3669
3669,3542
3669,3656
3656,3398
3656,3512
3656,3541
3737,3690
3881,3813
3813,3686
3813,3805
3881,3834
4030,3957
3957,3830
3957,3949
4030,3977
4030,3979
3979,3957
3979,3977
4174,4102
4174,4121
4174,4123
4123,4102
4123,4121
4313,4247
4247,4102
4247,4117
4247,4118
4313,4264
4264,4261
4264,4262
4458,4420
4420,4262
4420,4375
4375,4247
4375,4261
4420,4405
4420,4406
4458,4435
4435,4389
4389,4262
4389,4375
4435,4405
4435,4406
4606,4533
4533,4406
4533,4525
4606,4553
4606,4557
4557,4406
4557,4525
4557,4553
4750,4677
4677,4550
4677,4664
4664,4406
4664,4525
4664,4549
4750,4697
4750,4708
4708,4550
4708,4664
4708,4693
4708,4694
4894,4823
4823,4677
4823,4693
4823,4694
4894,4841
4894,4843
4843,4823
4843,4841
5033,4972
5033,4986
5177,5110
5177,5130
5321,5254
5321,5273
5465,5398
5465,5416
5416,5413
5416,5414
5614,5543
5543,5398
5543,5413
5543,5414
5614,5562
5614,5581
5581,5398
5581,5413
5581,5414
5581,5557
5581,5558
5758,5687
5687,5543
5687,5557
5687,5558
5758,5706
5758,5707
5707,5687
5707,5706
5903,5831
5831,5687
5831,5701
5831,5702
5903,5848
5848,5845
5848,5846
5903,5874
5874,5831
5874,5848
6041,5980
6041,5993
6191,6118
6191,6138
6191,6167
6329,6262
6329,6280
6280,6277
6280,6278
6478,6405
6405,6278
6405,6391
6391,6262
6391,6277
6478,6424
6424,6421
6424,6422
6478,6428
6428,6405
6428,6421
6428,6422
6617,6549
6549,6422
6549,6536
6536,6278
6536,6391
6536,6421
6617,6568
6568,6565
6568,6566
6767,6693
6693,6566
6693,6681
6767,6712
6712,6709
6712,6710
6767,6755
6905,6837
6837,6710
6837,6824
6824,6566
6824,6681
6824,6709
6905,6858
7054,6981
6981,6854
6981,6968
6968,6710
6968,6824
6968,6853
7054,7001
7054,7005
7005,6854
7005,6968
7005,7001
7198,7126
7198,7145
7198,7147
7147,7126
7147,7145
7343,7270
7343,7287
7343,7314
7314,7270
7314,7287
7486,7414
7486,7434
7486,7435
7435,7414
7435,7434
7625,7558
7625,7578
7774,7703
7703,7558
7703,7573
7703,7574
7774,7720
7720,7717
7720,7718
7774,7723
7723,7703
7723,7720
7913,7852
7913,7865
8063,7991
7991,7852
7991,7861
7991,7862
8063,8009
8063,8034
8034,7991
8034,8009
8201,8140
8201,8154
8345,8279
8279,8140
8279,8149
8279,8150
8345,8296
8296,8293
8296,8294
8489,8421
8421,8294
8421,8407
8407,8279
8407,8293
8489,8439
8633,8565
8565,8438
8565,8551
8551,8421
8551,8437
8633,8583
8777,8709
8709,8582
8709,8695
8695,8565
8695,8581
8777,8727
8921,8853
8853,8726
8853,8839
8839,8709
8839,8725
8921,8871
9065,8997
8997,8870
8997,8983
8983,8853
8983,8869
9065,9015
9209,9141
9141,9014
9141,9127
9127,8997
9127,9013
9209,9159
9353,9285
9285,9158
9285,9271
9271,9141
9271,9157
9353,9303
9497,9429
9429,9302
9429,9415
9415,9285
9415,9301
9497,9447
9641,9573
9573,9446
9573,9559
9559,9429
9559,9445
9641,9591
9785,9717
9717,9590
9717,9703
9703,9573
9703,9589
9785,9735
9929,9861
9861,9734
9861,9847
9847,9717
9847,9733
9929,9879
10073,10005
10005,9878
10005,9991
9991,9861
9991,9877
10073,10023
10217,10149
10149,10022
10149,10135
10135,10005
10135,10021
10217,10167
10361,10293
10293,10166
10293,10279
10279,10149
10279,10165
10361,10311
10505,10437
10437,10310
10437,10423
10423,10293
10423,10309
10505,10455
10649,10581
10581,10454
10581,10567
10567,10437
10567,10453
10649,10599
10793,10725
10725,10598
10725,10711
10711,10581
10711,10597
10793,10743
10937,10869
10869,10742
10869,10855
10855,10725
10855,10741
10937,10887
11081,11013
11013,10886
11013,10999
10999,10869
10999,10885
11081,11031
11225,11157
11157,11030
11157,11143
11143,11013
11143,11029
11225,11175
11369,11301
11301,11174
11301,11287
11287,11157
11287,11173
11369,11319
11513,11445
11445,11318
11445,11431
11431,11301
11431,11317
11513,11463
11657,11589
11589,11462
11589,11575
11575,11445
11575,11461
11657,11607
11801,11733
11733,11606
11733,11719
11719,11589
11719,11605
11801,11751
11945,11877
11877,11750
11877,11863
11863,11733
11863,11749
11945,11895
12089,12021
12021,11894
12021,12007
12007,11877
12007,11893
12089,12039
12233,12165
12165,12038
12165,12151
12151,12021
12151,12037
12233,12183
12377,12309
12309,12182
12309,12295
12295,12165
12295,12181
12377,12327
12521,12453
12453,12326
12453,12439
12439,12309
12439,12325
12521,12471
12665,12597
12597,12470
12597,12583
12583,12453
12583,12469
12665,12615
12809,12741
12741,12614
12741,12727
