cut1_idx,cut2_idx
40,7
40,13
40,24
24,7
24,13
143,75
75,9
75,74
143,89
143,114
114,75
114,89
286,213
213,86
213,201
286,232
232,229
232,230
286,235
235,213
235,232
431,357
357,230
357,344
344,86
344,201
344,229
431,377
431,402
402,357
402,377
574,501
501,374
501,489
574,520
520,517
520,518
574,525
525,374
525,489
525,520
719,645
645,518
645,632
632,374
632,489
632,517
719,665
719,690
690,645
690,665
862,789
789,662
789,777
862,808
808,805
808,806
862,813
813,662
813,777
813,808
1007,933
933,806
933,920
920,662
920,777
920,805
1007,953
1007,978
978,933
978,953
1150,1077
1077,950
1077,1065
1150,1096
1096,1093
1096,1094
1150,1101
1101,950
1101,1065
1101,1096
1295,1221
1221,1094
1221,1208
1208,950
1208,1065
1208,1093
1295,1241
1295,1266
1266,1221
1266,1241
1438,1365
1365,1238
1365,1353
1438,1384
1384,1381
1384,1382
1438,1389
1389,1238
1389,1353
1389,1384
1583,1509
1509,1382
1509,1496
1496,1238
1496,1353
1496,1381
1583,1529
1583,1554
1554,1509
1554,1529
1726,1653
1653,1526
1653,1641
1726,1672
1672,1669
1672,1670
1726,1677
1677,1526
1677,1641
1677,1672
1871,1797
1797,1670
1797,1784
1784,1526
1784,1641
1784,1669
1871,1817
1871,1842
1842,1797
1842,1817
2014,1941
1941,1814
1941,1929
2014,1960
1960,1957
1960,1958
2014,1965
1965,1814
1965,1929
1965,1960
2159,2085
2085,1958
2085,2072
2072,1814
2072,1929
2072,1957
2159,2105
2159,2130
2130,2085
2130,2105
2302,2229
2229,2102
2229,2217
2302,2248
2248,2245
2248,2246
2302,2253
2253,2102
2253,2217
2253,2248
2447,2373
2373,2246
2373,2360
2360,2102
2360,2217
2360,2245
2447,2393
2447,2418
2418,2373
2418,2393
2590,2517
2517,2390
2517,2505
2590,2536
2536,2533
2536,2534
2590,2541
2541,2390
2541,2505
2541,2536
2735,2661
2661,2534
2661,2648
2648,2390
2648,2505
2648,2533
2735,2681
2735,2706
2706,2661
2706,2681
2878,2805
2805,2678
2805,2793
2878,2824
2824,2821
2824,2822
2878,2829
2829,2678
2829,2793
2829,2824
3023,2949
2949,2822
2949,2936
2936,2678
2936,2793
2936,2821
3023,2969
3023,2994
2994,2949
2994,2969
3166,3093
3093,2966
3093,3081
3166,3112
3112,3109
3112,3110
3166,3117
3117,2966
3117,3081
3117,3112
3311,3237
3237,3110
3237,3224
3224,2966
3224,3081
