Index,Gates,Gates (%),Area,Area (%),Delay,Delay (%)
1,    799, 12.9,      971.84, 87.1,  3653.06, 21.2
2,    823, 16.3,      979.78, 83.7,  3663.98, 19.8
3,    943, 21.5,     1048.13, 78.5,  3402.64, 22.1
4,   1104, 23.3,     1195.33, 76.7,  2829.82, 25.1
5,    841, 15.7,      989.34, 84.3,  3565.32, 19.1
6,   1021, 19.8,     1127.68, 80.2,  3354.45, 15.3
7,    978, 19.4,     1096.42, 80.6,  3410.61, 24.0
8,    804, 14.9,      979.31, 85.1,  3613.35, 20.3
9,   1049, 21.8,     1159.40, 78.2,  3160.94, 22.6
10,    870, 15.5,     1027.83, 84.5,  3411.73, 23.6
11,    841, 16.3,      986.54, 83.7,  3661.39, 20.9
12,    803, 16.6,      976.74, 83.4,  3578.99, 20.8
13,    881, 17.6,     1006.60, 82.4,  3352.84, 17.6
14,    854, 18.0,     1001.00, 82.0,  3517.12, 18.0
15,    814, 16.8,      988.17, 83.2,  3520.98, 18.9
16,    854, 16.9,      998.90, 83.1,  3535.80, 19.9
17,    874, 15.6,     1001.70, 84.4,  3495.79, 20.4
18,    794, 14.7,      964.85, 85.3,  3553.05, 20.0
19,   1132, 23.6,     1220.05, 76.4,  2839.55, 26.1
20,    818, 17.8,      967.88, 82.2,  3617.57, 19.1
21,   1124, 22.9,     1208.62, 77.1,  2973.79, 13.4
22,    876, 14.7,     1029.93, 85.3,  3232.68, 21.8
23,    847, 17.9,      999.14, 82.1,  3590.53, 21.7
24,    798, 13.0,      951.55, 87.0,  3648.43, 19.8
25,    796, 15.3,      965.78, 84.7,  3636.16, 19.2
26,    954, 20.0,     1091.28, 80.0,  3292.57, 24.1
27,    773, 14.7,      941.28, 85.3,  3666.67, 19.3
28,    843, 17.2,      979.54, 82.8,  3528.43, 19.8
29,    764, 14.9,      956.91, 85.1,  3701.38, 20.8
30,    821, 15.5,      969.74, 84.5,  3695.81, 19.6
31,    795, 15.8,      955.28, 84.2,  3626.79, 19.6
32,    958, 18.9,     1076.82, 81.1,  3265.83, 22.0
33,    859, 17.3,      997.27, 82.7,  3587.20, 19.6
34,   1002, 20.5,     1123.71, 79.5,  3288.88, 15.1
35,    916, 18.3,     1072.39, 81.7,  3399.47, 16.7
36,    796, 14.3,      973.48, 85.7,  3428.29, 19.2
37,   1079, 22.8,     1176.66, 77.2,  3095.49, 14.1
38,    821, 13.9,      980.48, 86.1,  3421.44, 20.7
39,    853, 17.1,     1010.10, 82.9,  3399.40, 17.9
40,    841, 16.2,     1003.80, 83.8,  3523.76, 19.7
41,    806, 14.5,      961.58, 85.5,  3550.28, 20.6
42,    849, 15.2,     1008.00, 84.8,  3460.13, 21.1
43,    812, 15.4,      962.28, 84.6,  3701.96, 19.6
44,    842, 16.7,      980.94, 83.3,  3624.56, 18.8
45,    873, 16.6,     1008.24, 83.4,  3550.85, 23.5
46,    810, 14.4,      981.88, 85.6,  3527.41, 20.1
47,    748, 13.8,      926.82, 86.2,  3721.34, 21.1
48,   1127, 22.1,     1204.66, 77.9,  2926.27, 26.4
49,    818, 16.0,      980.94, 84.0,  3460.72, 20.8
50,    832, 15.1,      981.88, 84.9,  3503.37, 20.6
51,    873, 17.5,     1005.67, 82.5,  3500.76, 19.7
52,    933, 16.1,     1074.25, 83.9,  3268.31, 26.8
53,    814, 16.6,      972.31, 83.4,  3690.07, 20.5
54,    807, 16.0,      973.48, 84.0,  3557.40, 20.9
55,    783, 13.8,      965.55, 86.2,  3631.22, 21.1
56,    824, 14.9,      972.08, 85.1,  3559.57, 20.1
57,    807, 15.0,      967.88, 85.0,  3605.20, 19.1
58,    826, 16.3,      986.77, 83.7,  3454.19, 22.3
59,    814, 16.1,      980.94, 83.9,  3609.48, 19.2
60,    830, 14.7,      986.77, 85.3,  3570.54, 19.2
61,    772, 13.5,      939.19, 86.5,  3685.03, 20.2
62,    901, 16.8,     1038.80, 83.2,  3358.43, 22.2
63,   1037, 22.6,     1112.51, 77.4,  3115.68, 22.9
64,    945, 19.3,     1096.65, 80.7,  3356.32, 24.3
65,    985, 19.5,     1120.21, 80.5,  3099.62, 26.3
66,    886, 19.6,     1016.40, 80.4,  3611.15, 20.1
67,   1079, 20.5,     1169.90, 79.5,  3215.12, 26.4
68,    921, 20.1,     1053.73, 79.9,  3466.94, 22.0
69,    834, 17.9,      996.34, 82.1,  3627.67, 18.6
70,    775, 15.5,      955.28, 84.5,  3588.03, 19.5
71,    742, 11.5,      924.26, 88.5,  3705.52, 21.6
72,    801, 15.1,      965.78, 84.9,  3583.80, 21.5
73,    846, 16.3,      987.71, 83.7,  3526.52, 20.2
74,    858, 17.1,     1009.17, 82.9,  3451.50, 22.0
75,   1170, 23.9,     1244.32, 76.1,  2991.21, 12.8
76,    831, 17.1,      976.74, 82.9,  3616.17, 19.6
77,    837, 16.4,      998.44, 83.6,  3617.19, 21.4
78,    935, 19.3,     1052.79, 80.7,  3462.56, 16.5
79,    802, 14.3,      980.48, 85.7,  3554.11, 20.7
80,    833, 13.7,      986.31, 86.3,  3614.83, 22.7
81,    808, 16.5,      975.81, 83.5,  3616.85, 19.4
82,    794, 14.9,      960.41, 85.1,  3549.30, 20.3
83,    859, 17.0,      994.47, 83.0,  3531.01, 19.2
84,    813, 14.0,      980.24, 86.0,  3505.99, 20.3
85,   1082, 19.8,     1166.63, 80.2,  2936.37, 27.5
86,    828, 15.8,     1001.24, 84.2,  3529.70, 21.0
87,    828, 17.1,      980.71, 82.9,  3478.66, 18.4
88,    853, 17.6,     1014.77, 82.4,  3501.82, 22.0
89,    817, 14.1,      965.55, 85.9,  3647.25, 20.2
90,    827, 16.8,      969.98, 83.2,  3707.12, 19.7
91,   1128, 22.7,     1210.96, 77.3,  2891.58, 13.6
92,    790, 14.1,      952.25, 85.9,  3710.41, 20.9
93,   1006, 21.7,     1124.88, 78.3,  3135.08, 24.6
94,    846, 18.1,     1000.30, 81.9,  3568.88, 18.9
95,    805, 15.3,      976.28, 84.7,  3609.81, 20.7
96,   1073, 21.0,     1183.90, 79.0,  3258.15, 14.7
97,    798, 16.3,      983.28, 83.7,  3514.85, 20.8
98,    815, 15.5,      985.14, 84.5,  3518.92, 19.6
99,    813, 15.4,      973.48, 84.6,  3584.39, 20.0
100,   1000, 19.1,     1119.98, 80.9,  3211.51, 26.4
101,    786, 14.2,      968.11, 85.8,  3736.68, 20.1
102,    824, 14.4,      991.91, 85.6,  3528.72, 20.8
103,    818, 16.6,      999.14, 83.4,  3525.60, 21.5
104,    771, 11.9,      958.78, 88.1,  3502.53, 20.1
105,    800, 13.9,      959.01, 86.1,  3574.87, 22.1
