cut1_idx,cut2_idx
54,8
171,7
171,8
171,89
89,85
315,76
315,85
315,231
76,7
449,222
222,7
222,8
222,9
603,367
603,373
603,521
521,517
367,209
209,85
747,513
747,517
747,663
513,222
513,373
513,374
880,654
880,805
880,806
654,367
654,373
654,374
1024,798
1024,949
1024,950
798,513
798,517
798,518
1169,941
941,654
1312,1089
1312,1237
1312,1238
1089,798
1089,949
1089,950
1456,1230
1456,1381
1456,1382
1230,941
1230,949
1230,950
1611,1374
1611,1381
1611,1527
1374,1089
1374,1093
1374,1094
1745,1519
1519,1361
1361,950
1361,1076
1361,1237
1076,798
1888,1663
1888,1813
1888,1814
1663,1505
1505,1094
1505,1217
1505,1381
1217,806
1217,929
1217,1093
929,518
929,641
929,805
641,230
641,356
641,517
356,76
2043,1807
2043,1813
2043,1959
1807,1652
1652,1374
2187,1950
2187,1957
2187,2103
1950,1663
1950,1669
1950,1670
2322,2102
2322,2225
2322,2245
2225,1814
2225,1937
2225,2101
1937,1526
1937,1652
1937,1813
2464,2238
2464,2389
2464,2390
2238,1950
2238,1957
2238,1958
2619,2381
2619,2389
2619,2538
2538,2534
2381,2094
2094,1807
2094,1813
2094,1814
2763,2525
2763,2533
2763,2679
2525,2238
2896,2669
2896,2821
2896,2822
2669,2381
3051,2813
3051,2821
3051,2969
2969,2965
2813,2525
3195,2957
3195,2965
3195,3113
3113,3109
2957,2669
3330,3110
3330,3233
3330,3253
3233,2822
3233,2945
3233,3109
2945,2534
2945,2660
2945,2821
2660,2381
3483,3245
3483,3253
3483,3399
3245,2957
3627,3390
3627,3397
3627,3543
3390,3102
3390,3109
3390,3110
3102,2813
3102,2821
3102,2822
3771,3534
3771,3541
3771,3690
3690,3686
3534,3245
3534,3253
3534,3254
3915,3678
3915,3685
3915,3831
3678,3390
3678,3397
3678,3398
4059,3821
4059,3829
4059,3975
3821,3534
4195,3965
4195,3973
4195,3974
3965,3678
4347,4110
4347,4117
4347,4263
4110,3821
4110,3829
4110,3830
4483,4255
4483,4261
4483,4262
4255,4092
4092,3821
4092,3973
4624,4398
4624,4549
4624,4550
4398,4110
4398,4117
4398,4118
4769,4542
4542,4255
4542,4261
4542,4262
4923,4689
4923,4693
4923,4839
4689,4398
4689,4549
4689,4550
5067,4829
5067,4837
5067,4983
4829,4542
5202,4982
5202,5105
5202,5125
5105,4694
5105,4820
5105,4981
4820,4542
5345,5117
5117,4829
5499,5261
5499,5269
5499,5415
5261,4973
4973,4689
5643,5406
5643,5413
5643,5559
5406,5117
5406,5125
5406,5126
5777,5549
5549,5261
5922,5702
5922,5825
5922,5845
5825,5414
5825,5537
5825,5701
5537,5126
5537,5249
5537,5413
5249,4838
5249,4961
5249,5125
4961,4550
4961,4668
4961,4837
4668,4398
4668,4549
6075,5833
6075,5845
6075,5991
5833,5558
5833,5676
5676,5406
5676,5557
6211,5982
6211,5989
6211,5990
5982,5693
5982,5701
5982,5702
5693,5406
6353,6121
6121,5846
6121,5972
5972,5693
6497,6270
6270,5982
6270,5989
6270,5990
6642,6422
6642,6540
6642,6565
6540,6270
6540,6421
6784,6558
6784,6709
6784,6710
6558,6270
6558,6277
6558,6278
6939,6701
6939,6709
6939,6857
6857,6853
6701,6414
6414,6121
6414,6133
6414,6134
7083,6847
7083,6853
7083,6999
6847,6689
6689,6278
6689,6401
6689,6565
6401,5990
6401,6113
6401,6277
6113,5702
6113,5825
6113,5989
7216,6991
7216,7141
7216,7142
6991,6833
6833,6422
6833,6540
6833,6709
7365,7142
7365,7265
7365,7286
7265,6854
7265,6980
7265,7141
6980,6701
7504,7279
7504,7429
7504,7430
7279,7121
7121,6710
7121,6833
7121,6997
7659,7422
7659,7429
7659,7575
7422,7137
7422,7141
7422,7142
7137,6847
